target,kepid,tce_plnt_num,label,period,epoch,duration_hours,original_label
KIC_1162345,1162345,2,0,0.83185,132.227,2.392,AFP
KIC_1162345,1162345,3,0,0.831833,131.919,2.181,AFP
KIC_757450,757450,1,1,8.88492,134.452,2.078,PC
KIC_892667,892667,1,0,2.26211,132.171,7.509,NTP
KIC_892772,892772,1,0,5.0926,133.451,3.399,AFP
KIC_1026957,1026957,1,0,21.7613,144.779,1.277,AFP
KIC_1160891,1160891,1,0,0.940463,132.4,3.354,AFP
KIC_1160891,1160891,2,0,0.940463,131.66,3.332,AFP
KIC_1160891,1160891,3,0,0.94052,132.025,3.188,AFP
KIC_1162150,1162150,2,0,0.778568,131.662,1.399,AFP
KIC_1162150,1162150,1,0,0.778574,131.98,1.361,AFP
KIC_1161345,1161345,1,1,4.28758,133.434,1.113,PC
KIC_1162345,1162345,1,0,0.831777,131.698,2.349,AFP
KIC_1292087,1292087,1,0,0.547626,131.888,1.408,NTP
KIC_1573174,1573174,2,0,0.748347,131.886,2.897,AFP
KIC_1574792,1574792,1,0,1.39175,131.572,3.33,NTP
KIC_1575690,1575690,1,0,1.1262,132.441,1.632,AFP
KIC_1575873,1575873,1,0,0.629008,131.551,1.421,AFP
KIC_1865567,1865567,1,0,0.674634,131.702,2.16,NTP
KIC_1865567,1865567,2,0,1.34942,132.595,3.159,AFP
KIC_1865567,1865567,3,0,1.34947,131.992,2.005,AFP
KIC_2019227,2019227,1,0,2.98032,132.415,8.03,NTP
KIC_2019477,2019477,1,1,27.2481,131.912,10.76,PC
KIC_2167600,2167600,1,0,1.69146,132.463,2.232,NTP
KIC_2167600,2167600,2,0,3.38294,131.639,4.822,AFP
KIC_2167600,2167600,3,0,3.38292,133.417,7.093,AFP
KIC_2306740,2306740,2,0,10.3069,133.432,7.5,AFP
KIC_2306740,2306740,3,0,10.307,138.748,18.64,AFP
KIC_2307199,2307199,1,0,13.4472,132.83,2.33,AFP
KIC_2439211,2439211,2,0,0.499972,131.62,1.385,AFP
KIC_2439243,2439243,1,1,26.0204,154.527,4.737,PC
KIC_2554853,2554853,1,0,3.51468,132.251,4.885,AFP
KIC_2554853,2554853,2,0,3.51349,133.85,7.943,AFP
KIC_2554867,2554867,2,0,0.723891,132.122,2.489,AFP
KIC_2578072,2578072,1,0,0.968246,132.411,6.848,AFP
KIC_2578077,2578077,1,0,1.87905,133.276,5.695,AFP
KIC_2578077,2578077,2,0,1.87845,132.8,4.979,AFP
KIC_2693092,2693092,2,0,39.8415,141.997,7.328,AFP
KIC_2693097,2693097,1,0,1.41352,132.125,4.822,NTP
KIC_2693097,2693097,2,0,4.24047,132.84,7.312,NTP
KIC_2693097,2693097,3,0,2.82707,132.827,8.768,NTP
KIC_2714932,2714932,1,0,1.93658,133.363,6.319,AFP
KIC_2714932,2714932,2,0,1.93652,132.486,6.076,AFP
